#Iteration	 RMSE	               Rel. Err.
497	     3.852181e-02	     1.841051e-02
498	     3.847131e-02	     1.838638e-02
499	     3.844291e-02	     1.837280e-02
500	     3.843443e-02	     1.836875e-02
501	     3.838839e-02	     1.834675e-02
502	     3.837960e-02	     1.834255e-02
503	     3.828613e-02	     1.829788e-02
504	     3.827925e-02	     1.829459e-02
505	     3.822706e-02	     1.826965e-02
506	     3.820005e-02	     1.825674e-02
507	     3.819287e-02	     1.825330e-02
508	     3.814542e-02	     1.823063e-02
509	     3.811608e-02	     1.821661e-02
510	     3.810709e-02	     1.821231e-02
511	     3.806412e-02	     1.819177e-02
512	     3.805375e-02	     1.818682e-02
513	     3.796433e-02	     1.814408e-02
514	     3.795707e-02	     1.814061e-02
515	     3.790665e-02	     1.811651e-02
516	     3.788027e-02	     1.810391e-02
517	     3.787344e-02	     1.810064e-02
518	     3.782693e-02	     1.807842e-02
519	     3.779860e-02	     1.806488e-02
520	     3.779022e-02	     1.806087e-02
521	     3.774755e-02	     1.804048e-02
522	     3.771817e-02	     1.802643e-02
523	     3.770844e-02	     1.802179e-02
524	     3.766859e-02	     1.800274e-02
525	     3.765467e-02	     1.799609e-02
526	     3.757154e-02	     1.795636e-02
527	     3.756375e-02	     1.795263e-02
528	     3.751560e-02	     1.792962e-02
529	     3.749040e-02	     1.791758e-02
530	     3.748392e-02	     1.791448e-02
531	     3.743843e-02	     1.789274e-02
532	     3.741131e-02	     1.787978e-02
533	     3.740335e-02	     1.787597e-02
534	     3.736130e-02	     1.785588e-02
535	     3.733330e-02	     1.784250e-02
536	     3.732463e-02	     1.783836e-02
537	     3.728494e-02	     1.781939e-02
538	     3.727581e-02	     1.781502e-02
539	     3.719125e-02	     1.777461e-02
540	     3.718606e-02	     1.777213e-02
541	     3.713712e-02	     1.774874e-02
542	     3.711389e-02	     1.773764e-02
543	     3.708365e-02	     1.772318e-02
544	     3.705130e-02	     1.770772e-02
545	     3.699136e-02	     1.767907e-02
546	     3.697392e-02	     1.767074e-02
547	     3.693841e-02	     1.765377e-02
548	     3.692286e-02	     1.764634e-02
549	     3.684785e-02	     1.761049e-02
550	     3.683911e-02	     1.760631e-02
551	     3.679546e-02	     1.758545e-02
552	     3.677148e-02	     1.757399e-02
553	     3.676578e-02	     1.757127e-02
554	     3.672321e-02	     1.755092e-02
555	     3.669865e-02	     1.753918e-02
556	     3.669241e-02	     1.753620e-02
557	     3.665131e-02	     1.751656e-02
558	     3.662664e-02	     1.750477e-02
559	     3.661995e-02	     1.750157e-02
560	     3.657986e-02	     1.748241e-02
561	     3.655490e-02	     1.747048e-02
562	     3.654808e-02	     1.746722e-02
563	     3.650899e-02	     1.744854e-02
564	     3.648400e-02	     1.743660e-02
565	     3.647686e-02	     1.743318e-02
566	     3.643856e-02	     1.741488e-02
567	     3.641343e-02	     1.740287e-02
568	     3.640627e-02	     1.739944e-02
569	     3.636874e-02	     1.738151e-02
570	     3.634369e-02	     1.736954e-02
571	     3.633631e-02	     1.736601e-02
572	     3.629935e-02	     1.734835e-02
573	     3.627429e-02	     1.733637e-02
574	     3.626698e-02	     1.733288e-02
575	     3.623056e-02	     1.731547e-02
576	     3.620568e-02	     1.730358e-02
577	     3.619828e-02	     1.730004e-02
578	     3.616222e-02	     1.728281e-02
579	     3.613743e-02	     1.727096e-02
580	     3.613019e-02	     1.726750e-02
581	     3.609446e-02	     1.725043e-02
582	     3.606996e-02	     1.723872e-02
583	     3.606272e-02	     1.723526e-02
